1	ț’a	da'ak'	'shine (of sun)'	0.4
2497	ṭ’úyɔsnu	trunu	'enclose'	0.0
2498	mí	min	'2SG.GEN'	0.5
2501	ṭɔ́	tra	'that.SG.NOM'	0.25
2503	k’ɛn	kin	'this.SG.PRIM'	0.5
2505	nɔ	now	'hook'	0.5
2507	tcɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
2510	t’úyɔs	t'uyos	'arrow'	0.7
2511	nú	na'	'1SG.NOM'	0.0
2515	máxin	ma:gin	'1DU.INCL.GEN'	0.7
2516	nɔ	now	'hook'	0.5
2518	tcɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
2524	timahau	dimaha'	'quiver'	0.7859999999999999
2526	ṭau	tr'ap	'bow used for hunting'	0.5
2528	cúphun	co:pun	'consent'	0.7
2531	wíya	wiyi	'say, do'	0.625
2534	ts’úyu	c'uyo:	'urinate'	0.25
2535	'axma’	'ama'	'3SG.NOM'	0.7
2536	na	na'	'1SG.NOM'	0.5
2538	ṣ	shra:pa	'burn'	0.0
2540	tá	dab	'next, on the other hand, then'	0.5
2543	ná	na'	'1SG.NOM'	0.5
2545	hi	hi'	'FUT'	0.5
2546	tau	dab	'next, on the other hand, then'	0.5
2548	hi	hi'	'FUT'	0.5
2550	yam	ya'	'go'	0.5
2551	wak	wik'	'2DU.VOC.IMPER'	0.5
2555	ts’ɔuwilá	c'ala	'hatch'	0.0
2557	hin	hi'	'FUT'	0.5
2558	límka	laga:	'spend the night'	0.25
2559	táɛlsaxɔ	dala	'flatten (grass or brush on ground)'	0.25
2562	t’úyɔsnu	t'uyos	'arrow'	0.1
2564	xitíu̯hin	xibil	'take away'	0.4
2571	hin	hi'	'FUT'	0.5
2572	hútnai	ha:tam	'dance'	0.1
2573	'áxma’	'ama'	'3SG.NOM'	0.7
2574	náh’an	na'an	'1PL.EXCL.NOM'	0.7
2577	ya	ya'	'go'	0.5
2582	tisa	tisi	'come out'	0.625
2584	lá	lap'	'whip'	0.5
2586	hin	hi'	'FUT'	0.5
2588	t’úyɔs	t'uyos	'arrow'	0.7
2589	mi	min	'2SG.GEN'	0.5
2593	t’úyɔn	toyon	'be night'	0.4
2594	ká	k'ac'	'obsidian'	0.5
2597	ṭaú	tr'ap	'bow used for hunting'	0.5
2599	tauṭá	tawtra:	'kill tr'	0.7
2601	hin	hi'	'FUT'	0.5
2604	hulɔ́shun	hulo:shr	'sit down'	0.4
2605	ṭau	tr'ap	'bow used for hunting'	0.5
2606	'ámtsau	'amcaw	'close to'	0.75
2609	tisa	tisi	'come out'	0.625
2611	lá	lap'	'whip'	0.5
2613	hin	hi'	'FUT'	0.5
2615	nɔ	now	'hook'	0.5
2617	tcɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
2622	wɔ́ṭtin	wotr'od	'increase sth, draw interest'	0.7
2624	tayílhin	de:yil	'guard, watch (wait for)'	0.7
2625	wák	wik'	'2DU.VOC.IMPER'	0.5
2628	kítax	gada:y	'be unable to reach sth, give out'	0.4
2630	wɔ́	wa	'however'	0.25
2635	ya	ya'	'go'	0.5
2639	kítax	gada:y	'be unable to reach sth, give out'	0.4
2641	wɔ́uyhun	wo:'uy	'fall asleep, sleep'	0.7
2642	wíya	wiyi	'say, do'	0.625
2646	kímam	k'inim	'acorn'	0.4
2647	tau	dab	'next, on the other hand, then'	0.5
2648	ṭaxɔ́	draxa	'step over, take a step'	0.625
2650	hin	hi'	'FUT'	0.5
2651	wiyá	wiyi	'say, do'	0.625
2657	ṣí’ɬhin	shri'e:l	'rain'	0.7
2660	tisa	tisi	'come out'	0.625
2662	la	lap'	'whip'	0.5
2664	hin	hi'	'FUT'	0.5
2666	t’úyɔs	t'uyos	'arrow'	0.7
2667	mí	min	'2SG.GEN'	0.5
2671	tau’ṭá	t'aw'a	'strike an animate object to the ground'	0.4
2674	t’uit’úyɔn	tuk'uyun	'jackrabbit'	0.0
2675	mí	min	'2SG.GEN'	0.5
2679	táhan	daban	'lose what one has'	0.7
2680	wiya	wiyi	'say, do'	0.625
2686	'amits	'amin	'3SG.GEN'	0.7
2688	hin	hi'	'FUT'	0.5
2690	ṭɛ́	tra	'that.SG.NOM'	0.25
2696	nit	nim	'1SG.GEN'	0.5
2697	tsauhin	c'ak'	'blackbird'	0.5
2701	káyu	ga:yal	'await?'	0.4
2703	wa’tnit	wat'im	'back'	0.1
2704	lánhin	la:na	'hear'	0.625
2707	nak	na'	'1SG.NOM'	0.5
2709	yíṭit	yiki	'fart'	0.25
2713	wíya	wiyi	'say, do'	0.625
2719	hin	hi'	'FUT'	0.5
2720	tɔinɛ́	dini	'shield'	0.25
2723	ṭɛ́u	tr'e:'a:	'seek a husband'	0.25
2725	'a	'at'	'cut'	0.5
2727	’niwil	'e:dil	'get hungry'	0.1
2728	wák	wik'	'2DU.VOC.IMPER'	0.5
2731	tɛ́	de:yi	'take the lead, get in front'	0.25
2733	xalk’a	xal'a	'put a stick in a crack'	0.7
2734	ṭaná	draxa	'step over, take a step'	0.625
2738	káywa	k'ay'a	'urinate (animals)'	0.7
2743	hin	hi'	'FUT'	0.5
2744	káyu	ga:yal	'await?'	0.4
2745	tá	dab	'next, on the other hand, then'	0.5
2747	naṣ	na'	'1SG.NOM'	0.5
2750	hin	hi'	'FUT'	0.5
2751	kitáxma’	k'ishrdana'	'circumcised man'	0.43799999999999994
2754	hin	hi'	'FUT'	0.5
2755	kitaxma	gada:y	'be unable to reach sth, give out'	0.0
2757	yíṭit	yiki	'fart'	0.25
2758	wiyá	wiyi	'say, do'	0.625
2764	niṭ’hin	nim	'1SG.GEN'	0.5
2765	mɔ́k	mak'	'1DU.INCL.NOM'	0.5
2772	nit	nim	'1SG.GEN'	0.5
2773	tíshin	tisi	'come out'	0.625
2774	t’iɛu̯yɔu	duyu	'sting'	0.0
2775	pɔ́nɔi	bonoy	'have two, make two'	0.7
2776	witípʿat’s	wichribna:	'give birth to a child'	0.0
2777	pɔniɔ̯	be:ni	'cook by burying in ashes'	0.25
2778	máxhin	mak'	'1DU.INCL.NOM'	0.5
2779	káyu	ga:yal	'await?'	0.4
2780	yɛ	ya'	'go'	0.0
2782	t’in	di'ichr	'sane (up), hoard'	0.4
2785	wɔs	wik'	'2DU.VOC.IMPER'	0.0
2786	hupá	hup'	'brain'	0.5
2788	tsɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
2790	pam	batr	'as usual'	0.5
2793	tsɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
2795	pum	p'umu	'fill'	0.625
2796	pɔ́niɔ	be:ni	'cook by burying in ashes'	0.25
2798	wítcɛ́	wic'et	'stick'	0.7
2800	pa	batr	'as usual'	0.5
2801	ta’n̥á	damna:	'try'	0.7
2803	hin	hi'	'FUT'	0.5
2804	tan	ta:na	'go'	0.625
2805	ṭɛu	tr'e:'a:	'seek a husband'	0.25
2809	witipats	wichribna:	'give birth to a child'	0.35700000000000004
2810	pɔ	bok	'muscle, calf of leg'	0.5
2812	húṭ’hun	hutr'u	'cook bread in ashes'	0.625
2814	yɔkɔ’ts	yokoc'	'person, people'	0.7
2815	hɔ́i’lɛ́xɔ	hoy'le:	'hunt'	0.75
2818	’u̯ínu	'utru	'play music'	0.25
2820	lɛ́hɛ	lets'a	'talk to'	0.25
2822	m’an	ma'an	'2PL.NOM'	0.7
2825	man	mak'	'1DU.INCL.NOM'	0.5
2827	tuyá	duyu	'sting'	0.625
2833	tsɛ	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
2835	pam	batr	'as usual'	0.5
2838	yɔkɔts’	yokoc'	'person, people'	0.7
2839	kitíuhin	gidiw	'surround'	0.7
2840	yɛ́	ya'	'go'	0.0
2842	ṭ’au	tr'ap	'bow used for hunting'	0.5
2845	'anuṭwa	'anatrwal/	'dream (about)'	0.625
2846	maxhin	mak'	'1DU.INCL.NOM'	0.5
2847	hutulɔ́	hudu	'recognize, know'	0.25
2851	hútulu’	huddulu'	'owl'	0.812
2853	tí	di'	'with a little doubt'	0.5
2856	tuk’uinu	t'uguy	'spear fish'	0.1
2857	ṣípṣaxɔṭan	shripshra:/	'to perform with magical powers'	0.0
2858	'ɔṣtɔni	'obtol'	'raise up tr'	0.35700000000000004
2859	mí	min	'2SG.GEN'	0.5
2862	wɔ́	wa	'however'	0.25
2864	yɛn	ya'	'go'	0.0
2865	mi	min	'2SG.GEN'	0.5
2869	t’úyɔn	toyon	'be night'	0.4
2870	hupa	hup'	'brain'	0.5
2872	tsɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
2874	pum	p'umu	'fill'	0.625
2877	húthun	hudu	'recognize, know'	0.625
2878	káyu	ga:yal	'await?'	0.4
2880	hitc’í	hishri	'get ripe, become cooked'	0.625
2881	wíya	wiyi	'say, do'	0.625
2884	mí	min	'2SG.GEN'	0.5
2888	yɔlɔ́	yo:wo	'go home'	0.625
2890	wɛn	wik'	'2DU.VOC.IMPER'	0.0
2891	tuk’uínu	t'uguy	'spear fish'	0.1
2893	ṭau	tr'ap	'bow used for hunting'	0.5
2894	pɔ́k’it	bok'o	'find'	0.25
2895	híṣna’	hina'	'perhaps, maybe'	0.7
2902	hin	hi'	'FUT'	0.5
2903	káyu	ga:yal	'await?'	0.4
2904	ṣɔ́pyil	shrop'ix	'stomach, paunch'	0.4
2905	mihi	midi	'sprinkle'	0.625
2909	twɛn	dik'e:n	'stay behind'	0.4
2916	mi	min	'2SG.GEN'	0.5
2917	wíya	wiyi	'say, do'	0.625
2921	tanhin	ta:na	'go'	0.625
2922	húpa	hup'	'brain'	0.5
2924	ts	tso:p'	'break in the middle?'	0.0
2927	pum	p'umu	'fill'	0.625
2929	xɔsímnit	xinic'	'nape of neck'	0.0
2931	t’úyhun	duyu	'sting'	0.25
2934	t’uímu	dumu	'pile'	0.25
2936	'ama	'ama'	'3SG.NOM'	0.7
2937	ṭau	tr'ap	'bow used for hunting'	0.5
2938	'ɔ́cit	'oshrit	'fire'	0.7
2939	wɔ́i̯hin	wi:	'ANNOYANCE'	0.25
2940	mí	min	'2SG.GEN'	0.5
2944	líhmɛn	lihim	'run'	0.7
2945	hi	hi'	'FUT'	0.5
2947	yam	ya'	'go'	0.5
2948	'ama	'ama'	'3SG.NOM'	0.7
2950	minwa	makwa	'1DU.INCL.PRIM'	0.4
2951	'ɔ́cit	'oshrit	'fire'	0.7
2952	yawalyɛ́xɔ’	yawa:l	'follow, pursue'	0.4
2954	taxinṭau	damna:	'try'	0.0
2957	t’úyhun	duyu	'sting'	0.25
2958	'ɔ́cṭɔ	'o:tr'u	'steal'	0.25
2960	ṭauk’ínhin	tre:kin	'fear, become exited [sic] with'	0.4
2961	kutɛ́	gude'	'small'	0.7
2963	naṣ	na'	'1SG.NOM'	0.5
2965	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
2966	wɔíhin	wi:	'ANNOYANCE'	0.25
2968	'ɔ́cit	'oshrit	'fire'	0.7
2969	'ama	'ama'	'3SG.NOM'	0.7
2971	minwa	makwa	'1DU.INCL.PRIM'	0.4
2974	tisa	tisi	'come out'	0.625
2976	lá	lap'	'whip'	0.5
2978	hin	hi'	'FUT'	0.5
2982	k’ɔ	k'otr'	'tule'	0.5
2984	hin	hi'	'FUT'	0.5
2985	'ɔ́ctɔu	'ozhoy	'sign, color'	0.4
2987	k’ɔ́	k'otr'	'tule'	0.5
2989	sithin	shridig	'pile up (similar objects in a stack)'	0.7
2991	ṭɔxɔṭni	tro:xon'	'belt-skirt used in ceremonial dances'	0.5
2992	'ɔ́ṣtɔ	'o:sa:/	'feel the opposite sex in the dark'	0.25
2994	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
2995	tayk’ínhin	tawin	'to become morning'	0.4
2999	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
3000	li	lap'	'whip'	0.0
3002	hímhin	hi'	'FUT'	0.5
3006	witcípai	wichribna:	'give birth to a child'	0.5710000000000001
3007	'ank’i	'angi'	'Q'	0.75
3009	há	hawa	'do what?'	0.25
3012	xɔ́’	xo:	'live, exist, be'	0.25
3015	wiyá	wiyi	'say, do'	0.625
3018	tawak’il	dawak'	'extinguish, put out'	0.4
3020	'ɔ́ṣtɔ	'o:sa:/	'feel the opposite sex in the dark'	0.25
3021	wiyá	wiyi	'say, do'	0.625
3024	hɔ̢	hon	'egg'	0.5
3026	hɔ̢	hon	'egg'	0.5
3027	wiyá	wiyi	'say, do'	0.625
3032	wítiphat’s	wichribna:	'give birth to a child'	0.0
3033	yɛt’	ya'	'go'	0.0
3034	yɛ	ya'	'go'	0.0
3036	t’in	di'ichr	'sane (up), hoard'	0.4
3040	yá	ya'	'go'	0.5
3043	hi	hi'	'FUT'	0.5
3045	yam	ya'	'go'	0.5
3046	'ama	'ama'	'3SG.NOM'	0.7
3048	mínwa	makwa	'1DU.INCL.PRIM'	0.4
3051	'ɔn	'op	'moon, a watch'	0.5
3055	pɔht’á	baw'a	'be enough'	0.1
3059	witcɛ́	wic'et	'stick'	0.7
3061	pa	batr	'as usual'	0.5
3063	t’úi̯k’a	t'inik'	'hide, screen from sight'	0.1
3064	wiya	wiyi	'say, do'	0.625
3068	'ɔ́ṣtɔ	'o:sa:/	'feel the opposite sex in the dark'	0.25
3069	ṭapaṭ	draxa	'step over, take a step'	0.25
3071	nɔ́	now	'hook'	0.5
3073	kun	kin	'this.SG.PRIM'	0.5
3074	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
3076	t’sɛt’swisk’a	t'aw'wis	'throw oneself to the ground'	0.0
3077	wiyá	wiyi	'say, do'	0.625
3081	núsus	nusos	'paternal aunt'	0.7
3083	ka’iwin	ga:'it	'young woman'	0.7
3084	hí	hi'	'FUT'	0.5
3086	yam	ya'	'go'	0.5
3088	'amítshin	'amin	'3SG.GEN'	0.7
3089	wiyá	wiyi	'say, do'	0.625
3093	hi	hi'	'FUT'	0.5
3095	yam	ya'	'go'	0.5
3096	'ama	'ama'	'3SG.NOM'	0.7
3098	minwa	makwa	'1DU.INCL.PRIM'	0.4
3099	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
3102	'ɔn	'op	'moon, a watch'	0.5
3105	hɛ́	he:xi	'fatten'	0.25
3107	tci	c'ip'i	'surround'	0.25
3108	wiyá	wiyi	'say, do'	0.625
3112	wit’cɛ	widin	'roll sth'	0.1
3114	pá	batr	'as usual'	0.5
3117	tikɛ	dik'e:n	'stay behind'	0.7
3119	nɛ́	na'	'1SG.NOM'	0.0
3122	t’uik’a	t'inik'	'hide, screen from sight'	0.1
3123	wiyá	wiyi	'say, do'	0.625
3129	t’uihun	de:yi	'take the lead, get in front'	0.25
3131	tauk’ínhin	tawin	'to become morning'	0.4
3133	lihímk’a	lihim	'run'	0.4
3134	wilwák	wik'	'2DU.VOC.IMPER'	0.0
3137	wiyá	wiyi	'say, do'	0.625
3140	núsus	nusos	'paternal aunt'	0.7
3142	mí	min	'2SG.GEN'	0.5
3145	má	mak'	'1DU.INCL.NOM'	0.5
3147	minwa	makwa	'1DU.INCL.PRIM'	0.4
3148	pa’na	pana:	'arrive'	0.625
3152	yá	ya'	'go'	0.5
3157	'aṭílhin	'atral	'open'	0.7
3159	ṭɛ́	tra	'that.SG.NOM'	0.25
3162	núsus	nusos	'paternal aunt'	0.7
3166	kɔ	k'otr'	'tule'	0.5
3168	ɔpínhin	'ip'in	'acorn flour'	0.7
3170	ṭau	tr'ap	'bow used for hunting'	0.5
3171	'aminnɔ́	'amin	'3SG.GEN'	0.4
3173	kun	kin	'this.SG.PRIM'	0.5
3174	t’ulúnhun	t'ulu	'burn tr'	0.25
3177	'á	'at'	'cut'	0.5
3179	ts’ɛ́	tso:p'	'break in the middle?'	0.0
3181	ts’in	chri'in	'waylay'	0.7
